BLDGSUIT,BLDGID,BLDGNAME,SUITID,OCCPNAME,SUITSQFT,SUITETYPE_MRI,RANK,SQFTTYPE,UPDATED_SUITE_TYPE
NW0071410,NW0071,NW IRBY BUILDING LP,410,ALPHA FINANCIAL ADVISORS LLC,1507,,1,RSF,OFF
CV00020004,CV0002,1180 Avenue of the Americas,4,XO Communications,0,OTHR,1,RSF,OTHER
NRG001K-60,NRG001,NW Northgate Mall LLC,K-60,Smarte Carte,0,RETL,1,GLA,RET
NW0075450,NW0075,NW EVERETT BUILDING LP,450,"Vizient, Inc.",2387,,1,RSF,OFF
BLK001E5-F,BLK001,Blakeney Retail,E5-F,"OPEN RICE CHARLOTTE, INC",3650,,1,GLA,RET
NW1041115A,NW1041,NW SIMMONS BUILDING LP,115A,"Alloy Wealth, Inc.",998,,1,RSF,OFF
PKLN058050A,PKLN05,Park Lane - Blk B2/C/DF Retail,8050A,"Nordstrom """"Rack""""",0,,1,GLA,RET
PKLN05B116,PKLN05,Park Lane - Blk B2/C/DF Retail,B116,Which Wich? Superior Sandwiches,0,,1,GLA,RET
BLK001C7-C2,BLK001,Blakeney Retail,C7-C2,Enlighten Yoga Temp,1192,,1,GLA,RET
NW15035502,NW1503,NW 230 Congress Street Propert,5502,Atlantic Resource Partners LLC,2471,,1,RSF,OFF
DMN001V1.126,DMN001,Domain Northside Retail,V1.126,Gong Cha Bubble Tea,1059,RETL,1,GLA,RET
DMN001W3.110,DMN001,Domain Northside Retail,W3.110,Fabletics,2325,RETL,1,GLA,RET
DMN001Y2.148,DMN001,Domain Northside Retail,Y2.148,The Grove Wine Bar & Kitchen,4040,RETL,1,GLA,RET
PKLN058050,PKLN05,Park Lane - Blk B2/C/DF Retail,8050,"Nordstrom """"Rack""""",0,,1,GLA,RET
NW0045100,NW0045,NW GIBSON BUILDING LP,100,"Deephaven Mortgage, LLC",8373,,1,RSF,OFF
NW0106750,NW0106,NW WOODWARD BUILDING LP,750,"Hall, Booth, Smith, P.C.",9010,,1,RSF,OFF
DMN001C1.128,DMN001,Domain Northside Retail,C1.128,Tommy Bahama Home (Lexington Furniture),7731,RETL,1,GLA,RET
NW1003425,NW1003,NW BRIXHAM GREEN THREE LP,425,The Jordan Insurancy Agency LLC,1412,,1,RSF,OFF
NW1035170,NW1035,NW TATE BUILDING LP,170,"Allen Tate Real Estate, LLC",872,,1,RSF,OFF
NW0054300,NW0054,NW CRAWFORD BUILDING LP,300,Columbus McKinnon Corporation,14804,,1,RSF,OFF
DMN001W2.132,DMN001,Domain Northside Retail,W2.132,"American Threads Domain, LLC",1200,RETL,1,GLA,RET
NW0079B,NW0079,NW BRIGHAM RETAIL,B,"Lucas Restaurant Group, LLC",4126,,1,RSF,RET
DMN012RESIDENT,DMN012,Domain Retail D1 Blk Z CA Inc,RESIDENT,Domain Northside Residential PO LP,0,,1,GLA,
DMN011RETAIL,DMN011,The Domain Bldg 1 CA Inc,RETAIL,Domain Northside Retail Property Owner LP,0,,1,GLA,
DMN015RESIDENT,DMN015,Domain Retail D1 Blk C CA Inc,RESIDENT,Domain Northside Residential PO LP,0,,1,GLA,
DMN011OFFICE,DMN011,The Domain Bldg 1 CA Inc,OFFICE,Domain Northside Office Property Owner LP,0,,1,GLA,
DMN013RETAIL,DMN013,Domain Retail D1 Blk W CA Inc,RETAIL,Domain Northside Retail Property Owner LP,0,,1,GLA,
DMN012RETAIL,DMN012,Domain Retail D1 Blk Z CA Inc,RETAIL,Domain Northside Retail Property Owner LP,0,,1,GLA,
DMN015RETAIL,DMN015,Domain Retail D1 Blk C CA Inc,RETAIL,Domain Northside Retail Property Owner LP,0,,1,GLA,
DMN014RETAIL,DMN014,Domain Retail D Blk D PGCA Inc,RETAIL,Domain Northside Retail Property Owner LP,0,,1,GLA,
DMN013RESIDENT,DMN013,Domain Retail D1 Blk W CA Inc,RESIDENT,Domain Northside Residential PO LP,0,,1,GLA,
WAVE01C202,WAVE01,Waverly Place,C202,"Green4Life Cary, Inc.",1534,RETL,1,GLA,RET
NW1041150,NW1041,NW SIMMONS BUILDING LP,150,Peoples Bank,2155,,1,RSF,OFF
NW1011575,NW1011,NW BALLANTYNE ONE LP,575,The Lincoln National Life Insurance Co,6572,,1,RSF,OFF
NW0021A200,NW0021,NW OFFICES ON SIX LP,A200,"Entropy Investment Management, LLC",3260,,1,RSF,OFF
NRG001S-LCageI,NRG001,NW Northgate Mall LLC,S-LCageI,Lakhani Jewelry,0,RETL,1,GLA,RET
PKLN01275,PKLN01,Park Lane - 8070 Office,275,Curtainwall Design Consulting,0,,1,GLA,OFF
NW0071100,NW0071,NW IRBY BUILDING LP,100,KIMBERLY CLARK GLOBAL SALES,8502,,1,RSF,OFF
P3005030,P300,NWALP PHOP Property Owner LLC,5030,MarketOne International LLP,0,,1,GLA,OFF
PKLN02600,PKLN02,Park Lane - 8080 Office,600,Northwood Retail LLC,0,,1,GLA,OFF
WAVE01B201,WAVE01,Waverly Place,B201,INE- Internetwork Expert LLC,8106,RETL,1,GLA,RET
NW0054150,NW0054,NW CRAWFORD BUILDING LP,150,The Lincoln National Life Insurance Company,6705,,1,RSF,OFF
NW1025125,NW1025,NW HALL BUILDING LP,125,"Scottish Re (U.S.), Inc.",10147,,1,RSF,OFF
NW15031101,NW1503,NW 230 Congress Street Propert,1101,Eduard Harutyunyan,533,,1,RSF,OFF
NRG00218,NRG002,Northgate Shops,18,Earth to Us Kitchen,0,RETL,1,GLA,RET
NRG001R-660,NRG001,NW Northgate Mall LLC,R-660,HO B RC Park,0,RETL,1,GLA,RET
P400110,P400,400 Totten PondRoad,110,"Sojournix, Inc",0,,1,GLA,OFF
NW0054225,NW0054,NW CRAWFORD BUILDING LP,225,The Lincoln National Life Insurance Company,6885,,1,RSF,OFF
HSV001420,HSV001,Hillside Village,420,Pro Martial Arts,2015,RETL,1,GLA,RET
P400220,P400,400 Totten PondRoad,220,"Beacon Pointe Wealth Advisors, LLC",0,,1,GLA,OFF
NW0071170,NW0071,NW IRBY BUILDING LP,170,"Herbert J. Sims & Co., Inc.",2844,,1,RSF,OFF
NW0076125,NW0076,NW CALHOUN BUILDING LP,125,Butler Weihmuller Katz Craig,728,,1,RSF,OFF
NRG001R-142,NRG001,NW Northgate Mall LLC,R-142,My Heart's Desire,0,RETL,1,GLA,RET
DMN001V1.110,DMN001,Domain Northside Retail,V1.110,"The Candle Bar Stores, LLC",1656,RETL,1,GLA,RET
WAVE01D204,WAVE01,Waverly Place,D204,Rocky Mountain Chocolate Factory,1079,RETL,1,GLA,RET
NRG001O-628,NRG001,NW Northgate Mall LLC,O-628,Area Benefits,0,RETL,1,GLA,OFF
NRG001R-848,NRG001,NW Northgate Mall LLC,R-848,Water World,0,RETL,1,GLA,RET
NW1012335,NW1012,NW BALLANTYNE TWO LP,335,INTERNETWORK SERVICES,2188,,1,RSF,OFF
P1003010,P100,NWALP PHOP Property Owner LLC,3010,"Apellis Pharmaceuticals, Inc.",0,,1,GLA,OFF
DMN001C11.146,DMN001,Domain Northside Retail,C11.146,Tier Reit (Cousins Properties),0,RETL,1,GLA,RET
NW0021C175,NW0021,NW OFFICES ON SIX LP,C175,Charlotte Management Advisors LLC,844,,1,RSF,OFF
DMN001W4.120,DMN001,Domain Northside Retail,W4.120,"Archer (Austin LW Hotel Associates, LP)",570,RETL,1,GLA,RET
NW0031250,NW0031,NW MEDICAL TWO LP,250,DERMATOLOGIC SURGERY OF THE CA,1575,,1,RSF,OFF
NW1012350,NW1012,NW BALLANTYNE TWO LP,350,INTERNETWORK SERVICES,1341,,1,RSF,OFF
DMN013COMMERCI,DMN013,Domain Retail D1 Blk W CA Inc,COMMERCI,"TR Domain, LLC",0,,1,GLA,
DMN001STOR-1,DMN001,Domain Northside Retail,STOR-1,Kiehl's,0,STRG,1,GLA,STG
NW0079A,NW0079,NW BRIGHAM RETAIL,A,Breaking Bread Ballantyne LLC,2400,,1,RSF,RET
DMN013HOTEL,DMN013,Domain Retail D1 Blk W CA Inc,HOTEL,"Austin Hotel Associates, LLC",0,,1,GLA,
NW1001430,NW1001,NW BRIXHAM GREEN ONE LP,430,"Michael Baker International, Inc.",3300,,1,RSF,OFF
P2007010,P200,NWALP PHOP Property Owner LLC,7010,Argent Wealth Management LLC,0,,1,GLA,OFF
DMN001X1.124,DMN001,Domain Northside Retail,X1.124,"Casper Sleep, Inc.",3382,RETL,1,GLA,RET
WAVE01D206,WAVE01,Waverly Place,D206,Drybar,1672,RETL,1,GLA,RET
PWP001100,PWP001,Prestonwood Place,100,Flower Child,0,RETL,1,GLA,RET
P460220,P460,460 Totten Pond,220,"New England Mutual Trading, Inc.",0,,1,GLA,OFF
NRG001K-PDeck3,NRG001,NW Northgate Mall LLC,K-PDeck3,Chambers Fitness & Performance,0,RETL,1,GLA,RET
NRG001K-49,NRG001,NW Northgate Mall LLC,K-49,Deep Sea Cosmetics,0,RETL,1,GLA,RET
DMN001C9.130,DMN001,Domain Northside Retail,C9.130,"Lorna Jane USA, Inc.",1328,RETL,1,GLA,RET
NW0021D200,NW0021,NW OFFICES ON SIX LP,D200,"Dei Vitae Enterprises, LLC",1649,,1,RSF,OFF
BLK001C5-A,BLK001,Blakeney Retail,C5-A,Shake Shack,3192,,1,GLA,RET
NRG001R-610,NRG001,NW Northgate Mall LLC,R-610,Sports & More,0,RETL,1,GLA,RET
NRG00216,NRG002,Northgate Shops,16,Nail Care Spa,0,RETL,1,GLA,RET
WAVE01POA,WAVE01,Waverly Place,POA,Waverly POA,0,,1,GLA,
CV00010500,CV0001,100 Broadway,500,"Vital Strategies, Inc.",18456,OFF,1,RSF,OFF
WAVE01LOT11,WAVE01,Waverly Place,LOT11,"Wells Fargo Bank, N.A.",0,OUTP,1,GLA,RET
NRG001R-101,NRG001,NW Northgate Mall LLC,R-101,Lim's Warehouse,0,RETL,1,GLA,RET
DMN001Z3.156,DMN001,Domain Northside Retail,Z3.156,Kicking It ATX,2802,RETL,1,GLA,RET
NW1011130,NW1011,NW BALLANTYNE ONE LP,130,"Carolina Disc Associates, P.C.",1990,,1,RSF,OFF
NRG001R-244,NRG001,NW Northgate Mall LLC,R-244,Uniform Junction,0,RETL,1,GLA,RET
DMN001W4.100,DMN001,Domain Northside Retail,W4.100,Bakery Lorraine,2500,RETL,1,GLA,RET
DMN001STOR-5,DMN001,Domain Northside Retail,STOR-5,Bakery Lorraine,0,STRG,1,GLA,STG
DMN001C9.100,DMN001,Domain Northside Retail,C9.100,"TravisMathew, LLC",2000,RETL,1,GLA,RET
DMN001X4.118,DMN001,Domain Northside Retail,X4.118,Houndstooth Coffee,1883,RETL,1,GLA,RET
FFV001O-H200,FFV001,Freshfields Village,O-H200,"Buist, Byars, Pearce & Taylor",0,,1,GLA,OFF
NRG001R-462,NRG001,NW Northgate Mall LLC,R-462,Logo Maniacs,0,RETL,1,GLA,RET
NW0071415,NW0071,NW IRBY BUILDING LP,415,AXA EQUITABLE LIFE INSURANCE C,2152,,1,RSF,OFF
WAVE01D103-105,WAVE01,Waverly Place,D103-105,Hand & Stone,3092,,1,GLA,RET
NRG001R-227,NRG001,NW Northgate Mall LLC,R-227,Total Fitness Studio,0,RETL,1,GLA,RET
NRG00212,NRG002,Northgate Shops,12,Mowbots of the Triangle,0,RETL,1,GLA,RET
FFV001O-P204,FFV001,Freshfields Village,O-P204,Kdp - Public Relations,0,,1,GLA,OFF
FFV001O-J204,FFV001,Freshfields Village,O-J204,Kdp - Chief Operating Officer,0,,1,GLA,OFF
FFV001O-Q201,FFV001,Freshfields Village,O-Q201,Kdp - Design & Development,0,,1,GLA,OFF
FFV001O-J205B,FFV001,Freshfields Village,O-J205B,Kdp - Accounting Office,0,,1,GLA,OFF
FFV001O-Q206,FFV001,Freshfields Village,O-Q206,Kdp - Accounting,0,,1,GLA,OFF
FFV001O-J204B,FFV001,Freshfields Village,O-J204B,Kdp - Accounting Office 2,0,,1,GLA,OFF
NW1040300,NW1040,NW CHANDLER BUILDING LP,300,Cogentrix Energy Power Management LLC,25520,,1,RSF,OFF
FFV001R-P100,FFV001,Freshfields Village,R-P100,Kdp - Human Resources,0,,1,GLA,RET
FFV001R-P102,FFV001,Freshfields Village,R-P102,Kdp - Legal,0,,1,GLA,RET
NW1503B002,NW1503,NW 230 Congress Street Propert,B002,"Level 3 Communications, LLC",100,,1,RSF,OTHER
HSV001368,HSV001,Hillside Village,368,Crest Tailors,690,RETL,1,GLA,RET
P460300,P460,460 Totten Pond,300,"SSH Communications Security, Inc.",0,,1,GLA,OFF
FFV001O-U214,FFV001,Freshfields Village,O-U214,Kiawah Development Partners LLC,0,,1,GLA,OFF
FFV001R-T103,FFV001,Freshfields Village,R-T103,Holly & Brooks,0,,1,GLA,RET
FFV001O-J205,FFV001,Freshfields Village,O-J205,Kdp - South Street Partners,0,,1,GLA,OFF
FFV001O-U213,FFV001,Freshfields Village,O-U213,Kiawah Development Partners LLC,0,,1,GLA,OFF
NRG001R-623,NRG001,NW Northgate Mall LLC,R-623,Endivo Hair Salon,0,RETL,1,GLA,RET
FFV001O-Q202,FFV001,Freshfields Village,O-Q202,Knight Residential Group,0,,1,GLA,OFF
PKLN05B135,PKLN05,Park Lane - Blk B2/C/DF Retail,B135,"Dallas Panic Room, LLC",0,,1,GLA,RET
NW1003100,NW1003,NW BRIXHAM GREEN THREE LP,100,The Hanover Insurance Company,8715,,1,RSF,OFF
FFV001R-O104,FFV001,Freshfields Village,R-O104,Vacasa -Beachwalker Rentals,0,,1,GLA,RET
HSV001320,HSV001,Hillside Village,320,"Bendy Leg Too, LLC dba Sessions Pilates",2063,RETL,1,GLA,RET
HSV001386,HSV001,Hillside Village,386,"Hillside Tavern, LLC",2500,RETL,1,GLA,RET
NW0072150,NW0072,NW HAYES BUILDING LP,150,"Bonterra Builders, LLC",12640,,1,RSF,OFF
NRG001S-LCageN,NRG001,NW Northgate Mall LLC,S-LCageN,Shama Jewelery,0,RETL,1,GLA,RET
CV00011500,CV0001,100 Broadway,1500,NHK Cosmomedia America,17426,OFF,1,RSF,OFF
P2003010,P200,NWALP PHOP Property Owner LLC,3010,Stewart Title Guaranty Company,0,,1,GLA,OFF
DMN001Y3.114,DMN001,Domain Northside Retail,Y3.114,"Juiceland Parmer, LLC",521,RETL,1,GLA,RET
DMN001Z1.122,DMN001,Domain Northside Retail,Z1.122,California Closets,1797,RETL,1,GLA,RET
DMN001Z1.120,DMN001,Domain Northside Retail,Z1.120,"Lavish Kitchen and Bath, Inc.",1922,RETL,1,GLA,RET
DMN001W2.168,DMN001,Domain Northside Retail,W2.168,"Brighton Collectibles,LLC",1500,RETL,1,GLA,RET
DMN001ATM-2,DMN001,Domain Northside Retail,ATM-2,"Capital One, N.A.",0,RETL,1,GLA,OTHER
NW0071175,NW0071,NW IRBY BUILDING LP,175,"Risk International Services, Inc.",3447,,1,RSF,OFF
NW0054125,NW0054,NW CRAWFORD BUILDING LP,125,"TruPoint Partners, Inc.",5275,,1,RSF,OFF
FFV001O-Q204,FFV001,Freshfields Village,O-Q204,"Kingswood Homes, Inc",0,,1,GLA,OFF
NW1521220,NW1521,NW Franklin Park LLC,220,"James A. Scott & Son, Incorporated",10898,,1,RSF,OFF
DMN001W3.134,DMN001,Domain Northside Retail,W3.134,Theory Austin LLC,3017,RETL,1,GLA,RET
NRG001R-472,NRG001,NW Northgate Mall LLC,R-472,Cell Fixx by SunComm Wireless,0,RETL,1,GLA,RET
FFV001R-U109,FFV001,Freshfields Village,R-U109,Ben & Jerry's,0,,1,GLA,RET
NRG001O-226,NRG001,NW Northgate Mall LLC,O-226,Brenda's Alterations,0,RETL,1,GLA,OFF
NRG001R-460,NRG001,NW Northgate Mall LLC,R-460,Lakhani Jewelry,0,RETL,1,GLA,RET
NRG001R-740,NRG001,NW Northgate Mall LLC,R-740,The Furniture Project,0,RETL,1,GLA,RET
NRG001R-246,NRG001,NW Northgate Mall LLC,R-246,Bull City Inflatables,0,RETL,1,GLA,RET
NRG001S-LCageJ,NRG001,NW Northgate Mall LLC,S-LCageJ,Young People's Performing Co,0,RETL,1,GLA,RET
NRG001R-444,NRG001,NW Northgate Mall LLC,R-444,Boost Mobile,0,RETL,1,GLA,RET
NW1002325,NW1002,NW BRIXHAM GREEN TWO LP,325,"Gibbons Leis, PLLC",2543,,1,RSF,OFF
P400120,P400,400 Totten PondRoad,120,"Oncologie, Inc.",0,,1,GLA,OFF
NRG001O-222,NRG001,NW Northgate Mall LLC,O-222,Federal Parking,0,RETL,1,GLA,OFF
NRG001S-LCageL,NRG001,NW Northgate Mall LLC,S-LCageL,Young People's Performing Co,0,RETL,1,GLA,RET
NRG001S-129L,NRG001,NW Northgate Mall LLC,S-129L,"The Durham Savoyards, Ltd.",0,RETL,1,GLA,RET
NW1506BLDG,NW1506,NW Gaithersburg LLC,BLDG,"Sears, Roebuck and Co.",215116,,1,RSF,RET
NW1505BLDG,NW1505,NW Duluth LLC,BLDG,"Sears, Roebuck and Co.",185512,,1,RSF,RET
NRG001R-123,NRG001,NW Northgate Mall LLC,R-123,Lim's Menswear,0,RETL,1,GLA,RET
NW0075650,NW0075,NW EVERETT BUILDING LP,650,ACE American Insurance Company,9997,,1,RSF,OFF
HSV001318,HSV001,Hillside Village,318,The Little Things,1895,RETL,1,GLA,RET
NW0076600,NW0076,NW CALHOUN BUILDING LP,600,Northwood Office LLC,17838,,1,RSF,OFF
WAVE01C210,WAVE01,Waverly Place,C210,Elegant Stitches,3898,RETL,1,GLA,RET
DMN001Z3.152,DMN001,Domain Northside Retail,Z3.152,Nina Berenato Worldwide LLC,1697,RETL,1,GLA,RET
FFV001R-R101,FFV001,Freshfields Village,R-R101,Indigo Books,0,,1,GLA,RET
NW1508Base-F,NW1508,149-151 Pearl Street Owner LLC,Base-F,Ferinze-Tailors,400,,1,RSF,RET
FFV001R-R100,FFV001,Freshfields Village,R-R100,Java Java,0,,1,GLA,RET
NW0071635,NW0071,NW IRBY BUILDING LP,635,Independent Advisor Alliance LLC,1810,,1,RSF,OFF
DMN001X4.100,DMN001,Domain Northside Retail,X4.100,Sway Domain LLC,5800,RETL,1,GLA,RET
NRG001O-228,NRG001,NW Northgate Mall LLC,O-228,Brenda's Alterations,0,RETL,1,GLA,OFF
DMN001Z1.114,DMN001,Domain Northside Retail,Z1.114,"Amerisleep Retail, LLC",2827,RETL,1,GLA,RET
DMN001ATM-1,DMN001,Domain Northside Retail,ATM-1,"Capital One, N.A.",0,RETL,1,GLA,OTHER
NW0021E100,NW0021,NW OFFICES ON SIX LP,E100,"Mountain Funding, LLC",3090,,1,RSF,OFF
NRG001O-603,NRG001,NW Northgate Mall LLC,O-603,Melanie Layton,0,RETL,1,GLA,OFF
PKLN01215,PKLN01,Park Lane - 8070 Office,215,Curtainwall Design-Temporary Exp Space,0,,1,GLA,OFF
NW0072200,NW0072,NW HAYES BUILDING LP,200,"Movement Mortgage, LLC",11323,,1,RSF,OFF
NRG00260,NRG002,Northgate Shops,60,Avis-Budget,0,RETL,1,GLA,RET
BLK001C7-A2,BLK001,Blakeney Retail,C7-A2,My Gym,2566,,1,GLA,RET
HSV001341,HSV001,Hillside Village,341,Canal Clothing,1290,RETL,1,GLA,RET
PKLN02575,PKLN02,Park Lane - 8080 Office,575,"Certify, Inc.",0,,1,GLA,OFF
PWP001122B,PWP001,Prestonwood Place,122B,Pinot's Palette,0,RETL,1,GLA,RET
FFV003B-102,FFV003,Freshfields Village Expansion,B-102,Palmetto Scent Studio,0,RETL,1,GLA,RET
FFV001R-G102,FFV001,Freshfields Village,R-G102,Tina Stephens,0,,1,GLA,RET
DMN001W3.120,DMN001,Domain Northside Retail,W3.120,Ray-Ban,1148,RETL,1,GLA,RET
DMN001W3.106,DMN001,Domain Northside Retail,W3.106,"Steven Madden Retail, Inc.",1759,RETL,1,GLA,RET
DMN001X4.200,DMN001,Domain Northside Retail,X4.200,"JASK LABS, Inc.",5230,RETL,1,GLA,RET
DMN001W6.200,DMN001,Domain Northside Retail,W6.200,Jask Labs,5176,RETL,1,GLA,RET
WAVE01B103A,WAVE01,Waverly Place,B103A,Hollywood Feed,3158,RETL,1,GLA,RET
NRG001R-124,NRG001,NW Northgate Mall LLC,R-124,Phone Repair Zone,0,RETL,1,GLA,RET
P400310,P400,400 Totten PondRoad,310,Siemens Real Estate,0,,1,GLA,OFF
BLK001E5-E,BLK001,Blakeney Retail,E5-E,Mann Travels,850,,1,GLA,RET
P3004010,P300,NWALP PHOP Property Owner LLC,4010,PeopleFluent (Authoria),0,,1,GLA,OFF
FFV001O-C202,FFV001,Freshfields Village,O-C202,"S. Bogan Designs, LLC.",0,,1,GLA,OFF
FFV001R-G101,FFV001,Freshfields Village,R-G101,Southern Tide,0,,1,GLA,RET
FFV001R-G100,FFV001,Freshfields Village,R-G100,Southern Tide,0,,1,GLA,RET
P300LL-PF,P300,NWALP PHOP Property Owner LLC,LL-PF,PeopleFluent (Authoria),0,,1,GLA,OTHER
DMN001Z2.150,DMN001,Domain Northside Retail,Z2.150,"Amazon Retail, LLC",5408,RETL,1,GLA,RET
DMN001C1.160,DMN001,Domain Northside Retail,C1.160,"Capital One, N.A.",10063,RETL,1,GLA,RET
NRG001R-126,NRG001,NW Northgate Mall LLC,R-126,Life Changes,0,RETL,1,GLA,RET
HSV001400,HSV001,Hillside Village,400,Joe O's Cleaners,3184,RETL,1,GLA,RET
NRG001O-216,NRG001,NW Northgate Mall LLC,O-216,Life Changes Counseling,0,RETL,1,GLA,OFF
BLK001C3-H,BLK001,Blakeney Retail,C3-H,"Bath & Body Works, LLC",3756,,1,GLA,RET
NW0076550,NW0076,NW CALHOUN BUILDING LP,550,"Millennium Advisors, LLC",16228,,1,RSF,OFF
BLK001C2-E,BLK001,Blakeney Retail,C2-E,Victoria's Secret # 501438,8449,,1,GLA,RET
NW1521210,NW1521,NW Franklin Park LLC,210,"Acadia Healthcare Company, Inc.",8648,,1,RSF,OFF
BLK001C3-E,BLK001,Blakeney Retail,C3-E,LOFT #1760,4502,,1,GLA,RET
FFV001O-D201,FFV001,Freshfields Village,O-D201,Loren G Beadle,0,,1,GLA,OFF
HSV001440,HSV001,Hillside Village,440,Weight Watchers,1600,RETL,1,GLA,RET
HSV001366,HSV001,Hillside Village,366,Vi Tu & Manh Bui / Resort Nails,3150,RETL,1,GLA,RET
CV00011200,CV0001,100 Broadway,1200,Interior Architects Inc.,17625,OFF,1,RSF,OFF
NW1011145,NW1011,NW BALLANTYNE ONE LP,145,Dr. Barbara E. Kissam,1178,,1,RSF,OFF
NW0077BLDG,NW0077,NW BRIGHAM BUILDING LP,BLDG,"Wells Fargo Bank, N.A.",287507,,1,RSF,OFF
FFV001R-U108,FFV001,Freshfields Village,R-U108,Village Optical,0,,1,GLA,RET
NW1517120,NW1517,NW Franklin Park LLC,120,Reliant Bank,5293,,1,RSF,OFF
CV00021100,CV0002,1180 Avenue of the Americas,1100,"Scripps Networks, LLC",19054,OFF,1,RSF,OFF
P460660,P460,460 Totten Pond,660,AECOM,0,,1,GLA,OFF
FFV003B-101,FFV003,Freshfields Village Expansion,B-101,"Studio 33, LLC",0,RETL,1,GLA,RET
NRG001O-613,NRG001,NW Northgate Mall LLC,O-613,Families Moving Forward,0,RETL,1,GLA,OFF
FFV001R-O105A,FFV001,Freshfields Village,R-O105A,"Post & Computer Center, LLC",0,,1,GLA,RET
DMN001X6.106,DMN001,Domain Northside Retail,X6.106,Brandy Melville,1800,RETL,1,GLA,RET
DMN001X5.128,DMN001,Domain Northside Retail,X5.128,Erin Condren,3503,RETL,1,GLA,RET
P460530,P460,460 Totten Pond,530,"Chiasma, Inc.",0,,1,GLA,OFF
P300STORAGE,P300,NWALP PHOP Property Owner LLC,STORAGE,"American Heart Association, Inc.",0,,1,GLA,STG
CV00020800,CV0002,1180 Avenue of the Americas,800,"Corporate Suites 1180, LLC",23165,OFF,1,RSF,OFF
FFV001R-C101,FFV001,Freshfields Village,R-C101,King Street Grille,0,,1,GLA,RET
P3006030,P300,NWALP PHOP Property Owner LLC,6030,"American Heart Association, Inc.",0,,1,GLA,OFF
DMN001D1.120,DMN001,Domain Northside Retail,D1.120,Doc B's Fresh Kitchen,5000,RETL,1,GLA,RET
FFV001R-Q101,FFV001,Freshfields Village,R-Q101,"Sweetgrass Plastic Surgery, LLC",0,,1,GLA,RET
DMN001W4.110,DMN001,Domain Northside Retail,W4.110,Dance with Me,2389,RETL,1,GLA,RET
FFV001R-U112,FFV001,Freshfields Village,R-U112,Beija-Flor,0,,1,GLA,RET
NW0076280,NW0076,NW CALHOUN BUILDING LP,280,"Movement Mortgage, LLC",1995,,1,RSF,OFF
DMN001X6.130,DMN001,Domain Northside Retail,X6.130,Apple Inc.,10263,RETL,1,GLA,RET
DMN001W2.152,DMN001,Domain Northside Retail,W2.152,"Limbo Jewelry Design, LLC",1114,RETL,1,GLA,RET
DMN001C9.120,DMN001,Domain Northside Retail,C9.120,Away Luggage,2235,RETL,1,GLA,RET
NW1017350,NW1017,NW CULLMAN PARK LP,350,The Law Offices of Beth A Wood,1463,,1,RSF,OFF
PKLN07A120,PKLN07,Park Lane - Blk A Retail,A120,Fans United,0,,1,GLA,RET
NW1026160,NW1026,NW FRENETTE BUILDING LP,160,"High Point Solutions, Inc.",2185,,1,RSF,OFF
P460420,P460,460 Totten Pond,420,Imaging Endpoints,0,,1,GLA,OFF
NW1018170,NW1018,NW RICHARDSON BUILDING LP,170,"Institute Success, LLC",1658,,1,RSF,OFF
NW0021A100,NW0021,NW OFFICES ON SIX LP,A100,"Magnitude Software, Inc.",1380,,1,RSF,OFF
NW1002300,NW1002,NW BRIXHAM GREEN TWO LP,300,"Medflow Holdings, LLC",12574,,1,RSF,OFF
NRG001S-Cage D,NRG001,NW Northgate Mall LLC,S-Cage D,Cheryl Onkst,0,RETL,1,GLA,RET
P460440,P460,460 Totten Pond,440,Voxware,0,,1,GLA,OFF
WAVE01B104,WAVE01,Waverly Place,B104,Amazing Lash Studio,1781,RETL,1,GLA,RET
FFV001R-T101,FFV001,Freshfields Village,R-T101,J McLaughlin,0,,1,GLA,RET
NRG00214,NRG002,Northgate Shops,14,Dress for Success,0,RETL,1,GLA,RET
DMN001C9.124,DMN001,Domain Northside Retail,C9.124,R.M. Williams US TX LLC,2126,RETL,1,GLA,RET
CV00020107,CV0002,1180 Avenue of the Americas,107,Omni Point Communications,3055,RETL,1,RSF,RET
P2002030,P200,NWALP PHOP Property Owner LLC,2030,"BuyerZone.com, LLC",0,,1,GLA,OFF
DMN001Y3.110,DMN001,Domain Northside Retail,Y3.110,Starbucks Corporation,3161,RETL,1,GLA,RET
BLK001E5-D,BLK001,Blakeney Retail,E5-D,Modern Acupuncture,1063,,1,GLA,RET
DMN001C11.142,DMN001,Domain Northside Retail,C11.142,Domain Retail Property Management Office,3162,RETL,1,GLA,RET
DMN001Z3.120,DMN001,Domain Northside Retail,Z3.120,The Impeccable Pig,1000,RETL,1,GLA,RET
NW1012320,NW1012,NW BALLANTYNE TWO LP,320,"Charlotte Prime, L.L.C.",2554,,1,RSF,OFF
CV00011600,CV0001,100 Broadway,1600,"Tibi, LLC",17088,OFF,1,RSF,OFF
DMN001C11.180,DMN001,Domain Northside Retail,C11.180,"Interior Define, Inc.",1794,RETL,1,GLA,RET
P460650,P460,460 Totten Pond,650,"Cytel, Inc.",0,,1,GLA,OFF
P400300,P400,400 Totten PondRoad,300,"SavingStar, Inc.",0,,1,GLA,OFF
P410100,P410,410 Totten Pond,100,"Milestones, Inc.",0,,1,GLA,OFF
P400140,P400,400 Totten PondRoad,140,Groe Advidors,0,,1,GLA,OFF
P410101,P410,410 Totten Pond,101,Rebecca's Cafe,0,,1,GLA,OFF
